division,familyName,speciesName,folderNo,JL].,description,Hetherset,Aug.,1767,Galium... [illegible
Dicotyledones,CARYOPHYLLACEAE,Silene noctiflora L.,2.0,,"Folder 1. Silene noctiflora [G]. i. ""Silene noctiflora. 10- and: 3-g:"" [JL]. ii. ""Silene noctiflora cream colour'd flowers"" [JL].",,,,
Dicotyledones,CARYOPHYLLACEAE,Silene noctiflora L.,2.0,,"Folder 2. Silene noctiflora [TA]. i. ""10- and: 3-g."" [JL].",,,,
Dicotyledones,CARYOPHYLLACEAE,Silene nutans L.,2.0,,"CatalogueFolder 1. Silene nutans [TA]. i. ""This is certainly the Silene nutans from Gloddaeth [near Conway in Gwynedd (Carnarvonshire)]"" [JL].",,,,
Dicotyledones,CARYOPHYLLACEAE,Silene nutans L.,2.0,,Folder 2. Silene nutans [G].,,,,
Dicotyledones,CARYOPHYLLACEAE,Silene otites (L.) Wibel,1.0,,Cucubalus viscosus [TA]; Cucubalus Otites [G].,,,,
Dicotyledones,CARYOPHYLLACEAE,Silene vulgaris (Moench) Garcke subsp. maritima (With.) A. & D. Löve,2.0,,"Folder 1. Silene amoena [G], Flora Scotica ed. 1, 227 (1777). i. ""Silene amoena. Bulstrode. trailing"" [JL].",,,,
Dicotyledones,CARYOPHYLLACEAE,Silene vulgaris (Moench) Garcke subsp. maritima (With.) A. & D. Löve,2.0,,"Folder 2. Silene amoena [TA]. i. ""Scotland, Yalden"" [JL]. ii. ""Silene amoena, Mr. Parsons from Scotland"" [JL]. iii. 10- and 3-gyn."" [JL].",,,,
Dicotyledones,CARYOPHYLLACEAE,Silene vulgaris subsp. vulgaris,1.0,,"Cucubalus behen [TA], Flora Scotica ed. 1, 226 (1777). i. ""Common Behen. Cawsham [near Reading, Berkshire]"" [JL]. ii. ""Ailsa Craig [tiny island south of the Isle of Arran in the Hebrides] β maritima"" [JL] [refers to the right-hand specimen, which is subsp. maritima].",,,,
Dicotyledones,CARYOPHYLLACEAE,Spergula arvensis L.,1.0,,"Spergula pentandra [TA]. i. ""Spergula pentandra the true. Dr. Gray from Portugal"" [JL].",,,,
Dicotyledones,CARYOPHYLLACEAE,Spergularia media (L.) C. Presl,1.0,,Arenaria rubra var. maritima [TA]; A. rubra var. β marina [G].,,,,
Dicotyledones,CARYOPHYLLACEAE,Spergularia sp.,1.0,,Arenaria [TA]. [Specimen inadequate for identification.],,,,
Dicotyledones,CARYOPHYLLACEAE,Stellaria alcine Grimm,1.0,,Stellaria? [TA]; Cerastium arvense vars.? [G].,,,,
Dicotyledones,CARYOPHYLLACEAE,Stellaria holostea L.,1.0,,Stellaria holostea [TA].,,,,
Dicotyledones,CARYOPHYLLACEAE,Stellaria nemorum L.,1.0,,Stellaria nemorum [TA].,,,,
Dicotyledones,CELASTRACEAE,Euonymus europaeus L.,1.0,,Euonymus europaeus [TA].,,,,
Dicotyledones,CERATOPHYLLACEAE,Ceratophyllum demersum L.,3.0,,"Folder 1. Ceratophyllum demersum [TA]. i. ""Ceratophyll: Hounsslow Heath River"" [JL].",,,,
Dicotyledones,CERATOPHYLLACEAE,Ceratophyllum demersum L.,3.0,,"Folder 2. Ceratophyllum demersum [G]. i. ""somewhere in the West"" [JL].",,,,
Dicotyledones,CERATOPHYLLACEAE,Ceratophyllum demersum L.,3.0,,"Folder 3. Ceratophyllum demersum [G]. i. ""Ceratophyllum demersum"" [JL].",,,,
Dicotyledones,CHENOPODIACEAE,Atriplex hastata L.,5.0,,"Folder 1. Atriplex hastata [G]. i. ""Atriplex hastata var. - an β Huds: By the Sea Side at Cley in Norfolk"" [JL].",,,,
Dicotyledones,CHENOPODIACEAE,Atriplex hastata L.,5.0,,"Folder 2. Atriplex hastata var. [G]. i. ""No.1 Atrip: hastata var. δ Huds: Atrip: pedunculata var. β is s'd to have been found near Lynn in Norfolk by Plukenet. See Ray p.153.n° 9"" [JL]. ii. ""N° II. Atriplex hastata var. δ Huds. Atriplex maritima ad foliosum basin auriculata procumbens, & ne vix cinnata. Ray 152"" [JL].",,,,
Dicotyledones,CHENOPODIACEAE,Atriplex hastata L.,5.0,,"Folder 3. Atriplex hastata? [G]. i. ""N° 2. The Seed of N° 1. Sown in the Garden produced N° 2"" [?]; ""I see no specific Difference whatever might be in the Habit"" [JL].",,,,
Dicotyledones,CHENOPODIACEAE,Atriplex hastata L.,5.0,,Folder 4. Atriplex hastata var. tatarica Huds.? [G].,,,,
Dicotyledones,CHENOPODIACEAE,Atriplex hastata L.,5.0,,"Folder 5. Atriplex hastata var. [G]. i. ""An eadem cum altera? It seems to be a Chenopod: the same Place"" [JL]. ii. ""Atriplex hastata? It grows procumbent. Greys Thor:"" [JL].",,,,
Dicotyledones,CHENOPODIACEAE,Atriplex laciniata L.,2.0,,"Folder 1. Atriplex laciniata [G]. i. ""Lodmore Beach. Stones"" [JL]. ii. ""Weymouth"" [JL]. iii. ""from Mr. Sheffield"" [JL].",,,,
Dicotyledones,CHENOPODIACEAE,Atriplex laciniata L.,2.0,,"Folder 2. Atriplex laciniata [TA]. i. ""Feversham [probably Favershamnear Canterbury in Kent]” [JL].",,,,
Dicotyledones,CHENOPODIACEAE,Atriplex littoralis L.,4.0,,Folder 1. Atriplex littoralis [G]. “Dorsetshire I think at Weymouth” [JL].,,,,
Dicotyledones,CHENOPODIACEAE,Atriplex littoralis L.,4.0,,Folder 2. Atriplex littoralis [TA].,,,,
Dicotyledones,CHENOPODIACEAE,Atriplex littoralis L.,4.0,,Folder 3. Atriplex serrata [TA]. i. “This I take to be the Atriplex [laciniata deleted by JL] Lin: marina Lin: serrata Huds: Atriplex maritima Ray at Sheerness” [JL]. ii. “Atriplex serrata Hud: marina Lin: Indented Sea Orache” [JL].,,,,
Dicotyledones,CHENOPODIACEAE,Atriplex littoralis L.,4.0,,Folder 4. Atriplex serrata [G].,,,,
Dicotyledones,CHENOPODIACEAE,Atriplex patula L.,3.0,,Folder 1. Atriplex patula [G]. i. “This I think from Pembrokeshire Coast” [JL].,,,,
Dicotyledones,CHENOPODIACEAE,Atriplex patula L.,3.0,,Folder 2. Atriplex patula [G].,,,,
Dicotyledones,CHENOPODIACEAE,Atriplex patula L.,3.0,,"Folder 3. Atriplex hastata [G]. “Atriplex hastata var? seu Atriplex patulae var. maritima? Videtur esse Atriplex sylvestris polygoni folio similis, spi... [illegible] seminalibus dense stipatis. R. Syn: p. 151. Nota sub N° 1. On the Sea Shore at Cley in Norfolk” [JL].",,,,
Dicotyledones,CHENOPODIACEAE,Atriplex patula L.,3.0,,Folder 4. Atriplex hastata [G].,,,,
Dicotyledones,CHENOPODIACEAE,Beta vulgaris L. subsp. maritima (L.) Thell.,2.0,,"Folder 1. Beta maritima [TA], Flora Scotica ed. 1, 150 (1777). i. ""Beta vulgaris Lin: Beta sylvestris maritima. Ray. Sea Beet. 5- and: 2-gyn. At Sheerness. Cal: 5-phyll: Corol: 0. Semen intra substantiam calycis” [JL].",,,,
Dicotyledones,CHENOPODIACEAE,Beta vulgaris L. subsp. maritima (L.) Thell.,2.0,,Folder 2. Beta vulgaris [TA].,,,,
Dicotyledones,CHENOPODIACEAE,Chenopodium album L.,2.0,,"Folder 1. Chenopodium album [G]. i. “Chen: album. certe. Cowley field” [JL]. ii. “Chenop: album. Cowley field [near Uxbridge in Middlesex], large” [JL].",,,,
Dicotyledones,CHENOPODIACEAE,Chenopodium album L.,2.0,,Folder 2. Chenopodium album [TA]. i. “Chenop: album” [JL]. ii. “Chenop: album. Essex” [JL].,,,,
Dicotyledones,CHENOPODIACEAE,Chenopodium bonus-henricus L.,1.0,,Folder 1. Chenopodium Bonus Henricus [TA].,,,,
Dicotyledones,CHENOPODIACEAE,Chenopodium glaucum L.,1.0,,"Folder 1. Chenopodium glaucum [TA]. i. “Chenop: glaucum. Tothill fields” [JL]. ii. “Chenopodium glaucum. Wrasbury & Horton Common” [JL]. iii. “Chenop: glaucum. Horton common Dunghills & Mr. Harcourts, Wrasbury” [JL].",,,,
Dicotyledones,CHENOPODIACEAE,Chenopodium hybridum L.,1.0,,Folder 1. Chenopod: Hybridum [TA].,,,,
Dicotyledones,CHENOPODIACEAE,Chenopodium murale L.,1.0,,"Folder 1. Chenopod. murale [TA]. i. “According to the Specimens in the Hort. siccus of Lin: this is the Chenopodium murale, not serotinum” [JL]. ii. “Ch: serot: Lin: has pretty large deltoid angular leaves, but no flowers, not unlike our viride” [JL]. iii. “Pool [Poole] in Dorset” [JL]. iv. “Chenopod. murale. ubique” [JL].",,,,
Dicotyledones,C,Chenopodium polyspermum L.,2.0,,"Folder 1. Chenopodium polyspermum [TA]. i. ""Bit of Chenop: polysperm."" [JL]. ii. ""Chenopodium polyspermum. Lin:"" [JL].",,,,
Dicotyledones,C,Chenopodium polyspermum L.,2.0,,"Folder 2. Chenopodium polyspermum [G]. i. ""Chenopodium polyspermum. Lin:"" [JL].",,,,
Dicotyledones,C,Chenopodium rubrum L.,2.0,,"Folder 1. Chenopodium rubrum [TA]. i. ""Horton Common. Leaves shining on both sides"" [JL].",,,,
Dicotyledones,C,Chenopodium rubrum L.,2.0,,"Folder 2. Atriplex laciniata? [G]. i. ""An Atriplex laciniata. Kew. See it in flower"" [JL].",,,,
Dicotyledones,C,Chenopodium? suecicum J. Murr.,1.0,,"Folder 1. Chenopodium serotinum [TA]; Linn. & Huds. [G]; C. viride Fl. Londinensis at malé [G]. i. ""The true Leaves of Chenop: serotinum var. β of Huds. from Mr Pitchford. An erect Plant somewhat Ch: album"" [JL].",,,,
Dicotyledones,C,Chenopodium vulvaria L.,1.0,,Folder 1. Chenopodium vulvaria [TA].,,,,
Dicotyledones,C,Halimione pedunculata (L.) Aell.,2.0,,"Folder 1. Atriplex pedunculata [TA]. i. ""Atriplex pedunculata Lin: near Yarmouth in Norfolk"" [JL].",,,,
Dicotyledones,C,Halimione pedunculata (L.) Aell.,2.0,,"Folder 2. Atriplex pedunculata [G]. i. ""Atriplex pedunculata. From Yarmouth. In the same place, where it [was] found last year"" [B]. Sheets 1 and 2. Atriplex pedunculata [G].",,,,
Dicotyledones,C,Halimione portulacoides (L.) Aell.,2.0,,"Folders 1 and 2. Atriplex portulacoides [G], Flora Scotica ed. 1, 635 (1777).",,,,
Dicotyledones,C,Salicornia europaea L.,3.0,,"Folder 1. Salicornia herbacea [TA], Flora Scotica ed. 1, 69 (1777). i. ""Salicornia herbacea. Lin: S. europaea. Huds."" [JL].",,,,
Dicotyledones,C,Salicornia europaea L.,3.0,,"Folder 2. Salifornia herbacea [?]. i. ""Salicornia herbacea. Marsh Samphire, jointed glass wort or saltwort"" [?].",,,,
Dicotyledones,C,Salicornia europaea L.,3.0,,"Folder 3. Salicornia fruticosa [JL]. i. ""Salicornia fruticosa var. fortasse [?] S. herbacea. Lin:"" [JL]. ii. ""Mr. Yalden. Weymouth. shrubby"" [JL] [specimen illustrated in Sowerby and Smith, English Botany 35: t. 2467 (1813)].",,,,
Dicotyledones,C,Salsola kali L.,1.0,,"Folder 1. Salsola Kali [TA]. i. ""Caldy Isl: [Caldy Island off the Dyfed (Pembrokeshire) coast near Tenby]"" [JL].",,,,
Dicotyledones,C,Suaeda fruticosa Forsk.,2.0,,"Folder 1. Salsola fruticosa [TA]. i. ""Windmill Point near Pool"" [JL].",,,,
Dicotyledones,C,Suaeda fruticosa Forsk.,2.0,,"Folder 2. Salsola fruticosa [G]. i. ""Near Pool [Poole] & in the Isle of Portland [Dorset]"" [JL].",,,,
